"X","Y","DateTime"
"508.1","216.9","236409906977"
"513.2","219.5","236409915372"
"509.7","222.5","236409932147"
"512.7","215.1","236409940160"
"516.0","224.5","236409956910"
"512.7","234.2","236409965246"
"507.7","229.7","236409981981"
"509.8","233.5","236409990303"
"504.6","234.8","236410007160"
"509.2","257.0","236410015376"
"515.8","252.6","236410032087"
"515.8","252.6","236410040348"
"513.1","280.8","236410056858"
"499.3","276.6","236410065207"
"489.6","283.2","236410073541"
"494.3","267.4","236410081987"
"498.4","281.1","236410090476"
"494.4","281.2","236410098567"
"495.6","271.4","236410106982"
"496.1","273.5","236410115314"
"496.6","284.8","236410123474"
"495.2","295.2","236410131990"
"496.0","298.0","236410140196"
"489.5","299.7","236410156873"
"547.6","280.9","236410165250"
"596.1","266.6","236410181917"
"593.3","280.3","236410190365"
"586.3","314.1","236410206918"
"597.6","320.1","236410215206"
"607.0","312.7","236410223588"
"608.7","294.4","236410231724"
"606.9","302.2","236410240344"
"604.3","305.5","236410248702"
"606.0","301.6","236410256786"
"604.5","279.6","236410265309"
"599.2","298.1","236410273636"
"597.5","300.2","236410281949"
"600.2","303.3","236410290371"
"594.4","298.4","236410298670"
"588.4","297.0","236410306902"
"589.1","294.6","236410315178"
"594.0","290.7","236410323688"
"592.7","314.5","236410331937"
"597.8","282.9","236410340266"
"592.9","276.2","236410348560"
"609.2","270.6","236410357087"
"620.7","267.1","236410365298"
"631.1","269.3","236410373665"
"622.3","276.9","236410381956"
"622.1","279.1","236410390344"
"619.4","279.9","236410398701"
"619.4","279.9","236410406936"
"617.6","279.4","236410415212"
"621.1","286.4","236410423613"
"621.1","286.4","236410431843"
"622.6","285.6","236410440212"
"629.4","271.4","236410448552"
"629.3","271.4","236410456826"
"630.6","270.2","236410465219"
"632.8","262.2","236410473561"
"633.2","259.2","236410481870"
"630.9","251.8","236410490231"
"623.0","252.1","236410498493"
"625.0","254.4","236410506820"
"625.6","261.6","236410515166"
"622.4","264.4","236410523572"
"620.5","268.0","236410531717"
"615.4","262.1","236410540259"
"612.9","262.1","236410548605"
"607.1","252.5","236410557059"
"591.1","240.5","236410565122"
"565.0","214.6","236410573377"
"533.6","206.6","236410581719"
"519.6","194.1","236410590086"
"509.0","196.3","236410598533"
"518.8","170.5","236410606971"
"505.8","184.0","236410615218"
"509.7","178.9","236410623442"
"514.2","180.6","236410631994"
"511.9","174.4","236410640252"
"515.2","176.1","236410648553"
"515.5","180.9","236410656749"
"519.6","186.6","236410665230"
"518.6","189.4","236410673558"
"514.5","194.7","236410681949"
"515.0","197.8","236410690382"
"518.3","197.3","236410698519"
"524.7","194.2","236410706938"
"525.9","194.3","236410715118"
"528.1","201.5","236410723441"
"522.5","206.9","236410731712"
"517.6","208.0","236410740187"
"527.9","211.9","236410748521"
"564.7","220.5","236410756891"
"641.4","223.5","236410765206"
"751.4","222.7","236410773445"
"891.7","212.4","236410781844"
"1019.1","216.3","236410790117"
"1105.0","211.8","236410798529"
"1140.6","201.9","236410806724"
"1140.7","201.8","236410823515"
"1151.6","212.9","236410840304"
"1151.3","211.9","236410848695"
"1142.9","219.1","236410865293"
"1142.9","219.1","236410873558"
"1158.1","218.6","236410881685"
"1158.2","206.1","236410890030"
"1153.5","207.0","236410898457"
"1153.1","208.5","236410906634"
"1145.6","216.4","236410915199"
"1147.2","204.1","236410923433"
"1161.3","193.1","236410931986"
"1161.3","193.1","236410940245"
"1162.3","193.3","236410948645"
"1159.7","181.7","236410956824"
"1166.5","175.1","236410965137"
"1157.7","167.4","236410973378"
"1151.5","171.2","236410981807"
"1154.4","171.7","236410990008"
"1156.2","173.4","236410998470"
"1161.5","170.6","236411006918"
"1158.7","173.0","236411015183"
"1161.5","174.7","236411023514"
"1160.5","174.8","236411031802"
"1162.5","194.8","236411040084"
"1166.0","191.4","236411056750"
"1158.5","191.8","236411073483"
"1161.1","193.1","236411081849"
"1173.0","177.9","236411098392"
"1167.5","171.5","236411106674"
"1159.6","184.6","236411131631"
"1273.8","148.3","236411140021"
"1425.1","127.5","236411148462"
"1551.1","177.7","236411156749"
"1551.2","177.6","236411165051"
"1539.1","182.0","236411173361"
"1541.4","185.5","236411181755"
"1545.9","189.0","236411190084"
"1548.1","175.7","236411198456"
"1546.6","176.1","236411215111"
"1544.5","177.5","236411223388"
"1541.3","180.9","236411240121"
"1547.0","203.3","236411248429"
"1531.0","196.8","236411265091"
"1535.6","205.0","236411273430"
"1521.9","196.5","236411298414"
"1541.7","246.1","236411323459"
"1530.8","254.4","236411348388"
"1532.4","271.8","236411373514"
"1539.5","248.5","236411398327"
"1534.9","263.5","236411423428"
"1526.1","260.2","236411448434"
"1532.4","252.3","236411465085"
"1526.2","268.2","236411473303"
"1526.4","274.0","236411490017"
"1525.9","251.0","236411498282"
"1537.2","253.8","236411515060"
"1556.3","250.1","236411523395"
"1589.2","246.4","236411531742"
"1604.5","261.9","236411548325"
"1602.0","260.0","236411556727"
"1595.8","262.8","236411573335"
"1591.0","240.9","236411598289"
"1606.6","266.3","236411623300"
"1595.1","243.1","236411631728"
"1562.0","259.4","236411681725"
"1483.2","277.6","236411690018"
"1335.3","282.1","236411698340"
"1126.4","294.4","236411706707"
"947.3","292.9","236411715074"
"796.8","303.6","236411723351"
"675.7","279.5","236411731719"
"571.0","298.3","236411739922"
"488.6","296.4","236411748382"
"469.9","294.1","236411756687"
"471.9","271.3","236411764934"
"486.7","271.5","236411773211"
"480.5","272.6","236411781559"
"485.8","278.0","236411790021"
"481.8","277.3","236411798301"
"482.7","276.1","236411806766"
"481.0","278.4","236411814998"
"484.1","284.7","236411823267"
"481.8","289.5","236411831724"
"480.3","323.0","236411848317"
"480.3","323.0","236411856767"
"473.9","276.1","236411865091"
"470.4","276.7","236411873327"
"484.1","313.7","236411881628"
"478.5","307.1","236411890040"
"485.7","308.9","236411898327"
"482.5","289.9","236411906507"
"478.2","301.7","236411915054"
"481.5","303.8","236411923306"
"487.9","304.0","236411931733"
"510.8","296.0","236411940022"
"551.2","308.3","236411948203"
"552.3","310.1","236411956739"
"565.6","290.5","236411965050"
"571.4","289.5","236411973111"
"572.5","296.7","236411981499"
"575.1","324.4","236411990002"
"581.2","327.4","236411998211"
"578.8","331.5","236412006448"
"584.2","316.9","236412014844"
"571.8","302.1","236412023187"
"578.3","300.3","236412031590"
"565.7","287.8","236412039935"
"569.4","286.3","236412048184"
"579.3","304.1","236412056543"
"579.3","304.1","236412065078"
"563.5","291.2","236412073437"
"563.4","288.1","236412081652"
"563.5","291.0","236412089871"
"563.1","297.5","236412098341"
"562.1","295.3","236412106654"
"570.0","299.5","236412114851"
"595.3","293.6","236412123179"
"614.2","288.6","236412131634"
"614.3","294.3","236412139970"
"616.7","293.0","236412148275"
"610.4","302.8","236412156618"
"614.8","286.2","236412165036"
"608.5","284.7","236412173249"
"611.9","286.8","236412181610"
"611.9","291.6","236412190053"
