"X","Y","DateTime"
"434.8","837.2","236288514646"
"439.7","859.3","236288523047"
"446.1","859.1","236288531315"
"443.8","856.0","236288539628"
"441.9","857.6","236288548005"
"441.7","855.0","236288556265"
"443.5","859.3","236288564673"
"442.9","857.4","236288573168"
"449.8","859.2","236288581242"
"454.8","856.0","236288589710"
"443.2","834.0","236288598034"
"443.2","834.0","236288606227"
"452.3","839.0","236288614736"
"451.0","842.8","236288623123"
"450.8","842.9","236288631614"
"441.5","855.3","236288639490"
"439.7","852.7","236288647953"
"450.9","849.2","236288656271"
"461.9","850.1","236288664817"
"486.0","840.5","236288673036"
"509.5","834.5","236288681135"
"505.9","824.7","236288689787"
"511.3","830.6","236288697976"
"509.9","827.8","236288706289"
"522.8","837.4","236288714624"
"522.2","840.0","236288723067"
"514.0","840.3","236288731415"
"517.7","829.2","236288739777"
"519.4","827.1","236288748139"
"519.4","827.1","236288756219"
"523.3","844.9","236288764543"
"505.1","826.0","236288773152"
"510.6","839.3","236288781371"
"513.3","836.0","236288789497"
"518.0","839.9","236288797827"
"523.7","840.2","236288806154"
"524.7","840.2","236288814582"
"524.9","840.2","236288822910"
"519.8","840.5","236288831359"
"524.9","829.3","236288839595"
"556.2","823.9","236288848057"
"633.4","819.2","236288856279"
"768.1","836.8","236288864603"
"904.2","836.5","236288872936"
"977.6","813.6","236288881307"
"1139.5","887.9","236288889606"
"1205.2","810.6","236288897867"
"1205.1","810.6","236288906255"
"1210.7","805.0","236288914520"
"1195.8","823.0","236288922928"
"1203.4","807.2","236288931180"
"1203.7","809.0","236288939599"
"1205.1","805.8","236288947903"
"1202.8","820.1","236288964640"
"1211.0","795.6","236288972803"
"1211.0","795.6","236288981043"
"1197.6","812.7","236288989555"
"1196.6","815.2","236288997936"
"1190.5","820.7","236289006374"
"1203.8","803.5","236289014654"
"1207.4","822.8","236289022868"
"1212.7","813.2","236289031396"
"1210.4","808.2","236289039696"
"1205.4","809.6","236289047852"
"1211.9","793.2","236289056244"
"1199.1","808.4","236289064577"
"1197.6","803.4","236289072900"
"1208.4","797.1","236289081251"
"1215.6","806.3","236289089408"
"1204.4","795.7","236289097868"
"1210.9","804.0","236289106367"
"1208.3","800.8","236289114546"
"1215.8","797.5","236289122836"
"1204.5","804.3","236289131188"
"1197.1","803.0","236289139573"
"1186.9","808.3","236289147824"
"1194.1","807.9","236289156256"
"1201.6","810.2","236289164441"
"1213.6","801.4","236289172902"
"1214.4","798.6","236289181140"
"1212.0","793.5","236289189432"
"1204.4","800.8","236289197785"
"1194.1","810.4","236289206279"
"1189.8","814.8","236289214443"
"1191.7","809.6","236289222937"
"1196.9","808.6","236289231058"
"1196.9","807.4","236289239617"
"1184.0","815.4","236289247778"
"1182.6","794.8","236289256252"
"1071.3","797.4","236289264400"
"921.6","761.6","236289272931"
"780.4","730.6","236289281156"
"646.1","723.9","236289289734"
"544.3","735.3","236289297744"
"497.7","737.9","236289306050"
"496.7","751.8","236289314466"
"501.7","758.5","236289322715"
"503.1","758.4","236289331163"
"499.0","755.2","236289347852"
"503.0","756.4","236289356235"
"523.4","777.2","236289372990"
"530.9","780.3","236289381186"
"523.4","765.7","236289389370"
"526.7","764.2","236289397788"
"525.3","765.0","236289406340"
"512.8","765.2","236289414495"
"515.2","773.1","236289422987"
"515.8","775.4","236289431105"
"529.3","778.5","236289439585"
"521.1","742.0","236289447920"
"521.8","741.3","236289456308"
"516.8","759.0","236289464371"
"519.6","757.5","236289473038"
"514.5","757.2","236289481133"
"525.9","745.3","236289489462"
"521.9","772.8","236289498012"
"525.4","760.9","236289506296"
"487.8","820.2","236289514439"
"464.2","844.3","236289523039"
"459.4","845.0","236289531042"
"461.6","843.7","236289539448"
"461.3","845.3","236289547702"
"459.2","846.2","236289556061"
"461.2","847.2","236289564449"
"457.6","819.5","236289572790"
"457.5","819.5","236289581071"
"460.0","821.8","236289589370"
"465.5","824.4","236289597721"
"469.2","841.4","236289606043"
"469.2","840.5","236289614313"
"468.2","842.7","236289622789"
"473.5","845.9","236289631026"
"470.6","845.0","236289639370"
"468.9","844.6","236289647651"
"459.6","837.8","236289656319"
